,proto,service,id.resp_p,missed_bytes,version,cipher,curve,resumed,established,sni_matches_cert,secure_label
509,udp,dns,5355,0,1,1,1,1,1,1,1
510,udp,dns,5355,0,1,1,1,1,1,1,1
511,icmp,,134,0,1,1,1,1,1,1,1
512,tcp,,27017,0,1,1,1,1,1,1,1
513,udp,dns,5355,0,1,1,1,1,1,1,1
514,udp,dns,5355,0,1,1,1,1,1,1,1
515,icmp,,135,0,1,1,1,1,1,1,1
516,udp,dns,53,0,1,1,1,1,1,1,0
517,tcp,,2181,0,1,1,1,1,1,1,1
518,tcp,,34984,0,1,1,1,1,1,1,1
519,tcp,,50912,0,1,1,1,1,1,1,1
520,tcp,,50872,0,1,1,1,1,1,1,1
521,tcp,,50960,0,1,1,1,1,1,1,1
522,tcp,,36276,0,1,1,1,1,1,1,1
523,tcp,,42773,0,1,1,1,1,1,1,1
524,tcp,,58768,0,1,1,1,1,1,1,1
525,tcp,,45903,0,1,1,1,1,1,1,1
526,tcp,,9092,0,1,1,1,1,1,1,1
527,tcp,,9092,0,1,1,1,1,1,1,1
528,udp,dns,5353,0,1,1,1,1,1,1,1
529,udp,dns,5353,0,1,1,1,1,1,1,1
530,udp,dns,137,0,1,1,1,1,1,1,1
531,udp,dns,5355,0,1,1,1,1,1,1,1
532,udp,dns,5355,0,1,1,1,1,1,1,1
533,udp,dns,5355,0,1,1,1,1,1,1,1
